id,uuid,jabatan,keyword,jenis_agenda,created_by
1,0d6eddd7-fe70-40e7-934e-055915f7c65e,Konselor,Pengukuran Awal,Layanan,0
2,0d6eddd7-fe70-40e7-934e-055915f7c65a,Konselor,Administrasi Tes Psikologi,Layanan,0
3,0d6eddd7-fe70-40e7-934e-055915f7c65x,Konselor,Psikososial / Psikoedukasi,Layanan,0
4,0d6eddd7-fe70-40e7-934e-055915f7c65x,Konselor,Pendampingan Psikologi,Layanan,0
5,0d6eddd7-fe71-40e7-934e-055915f7c65x,Konselor,Konseling,Layanan,0
6,0d6eddd7-fe71-40e2-934e-055915f7c65x,Konselor,Pemeriksaan Psikologi,Layanan,0
7,0d6eddd7-xe71-40e2-934e-055915f7c65x,Konselor,Hasil Pemeriksaan Psikologi,Layanan,0
8,0d6eddd7-xe71-40e2-934e-155915f7c65x,Konselor,BAP / Saksi Ahli,Layanan,0
9,0d6eddd7-xe71-40e2-934e-155915f7c65z,Konselor,Proyeksi Restitusi ,Layanan,0
10,0d6edda7-xe71-40e2-934e-155915f7c65z,Konselor,Verifikasi HPP / BAP,Layanan,0
11,0d6edda7-xe71-40e2-134e-155915f7c65z,Psikolog,Pengukuran Awal,Layanan,0
12,0d6edda7-xe71-49e2-134e-155915f7c65z,Psikolog,Administrasi Tes Psikologi,Layanan,0
13,0d6edda7-xe71-49e2-234e-155915f7c65z,Psikolog,Psikososial / Psikoedukasi,Layanan,0
14,0d6eddk7-xe71-49e2-234e-155915f7c65z,Psikolog,Pendampingan Psikologi,Layanan,0
15,0d6eddk7-xe72-49e2-234e-155915f7c65z,Psikolog,Konseling,Layanan,0
16,0d6eddk7-xe82-49e2-234e-155915f7c65z,Psikolog,Pemeriksaan Psikologi,Layanan,0
17,0d6eddk7-xe92-49e2-234e-155915f7c65z,Psikolog,Hasil Pemeriksaan Psikologi,Layanan,0
18,0d6eddk7-xe92-49e2-244e-155915f7c65z,Psikolog,BAP / Saksi Ahli,Layanan,0
19,0d6eddk7-xe62-49e2-244e-155915f7c65z,Psikolog,Proyeksi Restitusi,Manajemen Layanan,0
20,0d6eddk7-xe62-39e2-244e-155915f7c65z,Psikolog,Verifikasi HPP / BAP,Layanan,0
21,0d6eddk7-xe62-39e2-224e-155915f7c65z,Advokat,Konsultasi Hukum,Layanan,0
22,0d6eddk7-xe62-49e2-244e-152915f7c65z,Advokat,Pendampingan di Kepolisian,Layanan,0
23,0d6eddk7-xe62-44e2-244e-152915f7c65z,Advokat,Mediasi,Layanan,0
